nohup: ignoring input
2020-03-08 12:14:11 INFO: At 1-th epoch.
2020-03-08 12:14:34 DEBUG: g loss at batch 0: 15.421, batch size: 240, lr=0.001
2020-03-08 12:14:34 DEBUG: g loss at batch 1: 15.350, batch size: 190, lr=0.001
2020-03-08 12:14:35 DEBUG: g loss at batch 2: 15.353, batch size: 206, lr=0.001
2020-03-08 12:14:35 DEBUG: g loss at batch 3: 15.161, batch size: 215, lr=0.001
2020-03-08 12:14:36 DEBUG: g loss at batch 4: 15.038, batch size: 220, lr=0.001
2020-03-08 12:14:37 DEBUG: g loss at batch 5: 14.824, batch size: 223, lr=0.001
2020-03-08 12:14:38 DEBUG: g loss at batch 6: 15.079, batch size: 199, lr=0.001
2020-03-08 12:14:39 DEBUG: g loss at batch 7: 14.941, batch size: 204, lr=0.001
2020-03-08 12:14:39 DEBUG: g loss at batch 8: 14.719, batch size: 208, lr=0.001
2020-03-08 12:14:40 DEBUG: g loss at batch 9: 14.659, batch size: 211, lr=0.001
2020-03-08 12:14:41 DEBUG: g loss at batch 10: 14.621, batch size: 214, lr=0.001
2020-03-08 12:14:41 DEBUG: g loss at batch 11: 14.515, batch size: 216, lr=0.001
2020-03-08 12:14:42 DEBUG: g loss at batch 12: 14.389, batch size: 218, lr=0.001
2020-03-08 12:14:43 DEBUG: g loss at batch 13: 14.382, batch size: 220, lr=0.001
2020-03-08 12:14:43 DEBUG: g loss at batch 14: 14.262, batch size: 210, lr=0.001
2020-03-08 12:14:44 DEBUG: g loss at batch 15: 14.094, batch size: 212, lr=0.001
2020-03-08 12:14:44 DEBUG: g loss at batch 16: 13.789, batch size: 213, lr=0.001
2020-03-08 12:14:45 DEBUG: g loss at batch 17: 13.744, batch size: 215, lr=0.001
2020-03-08 12:14:46 DEBUG: g loss at batch 18: 13.690, batch size: 216, lr=0.001
2020-03-08 12:14:46 DEBUG: g loss at batch 19: 13.625, batch size: 217, lr=0.001
2020-03-08 12:14:47 DEBUG: g loss at batch 20: 13.561, batch size: 219, lr=0.001
2020-03-08 12:14:48 DEBUG: g loss at batch 21: 13.459, batch size: 220, lr=0.001
2020-03-08 12:14:48 DEBUG: g loss at batch 22: 13.434, batch size: 220, lr=0.001
2020-03-08 12:14:49 DEBUG: g loss at batch 23: 13.333, batch size: 221, lr=0.001
2020-03-08 12:14:50 DEBUG: g loss at batch 24: 13.287, batch size: 222, lr=0.001
2020-03-08 12:14:50 DEBUG: g loss at batch 25: 13.257, batch size: 220, lr=0.001
2020-03-08 12:14:51 DEBUG: g loss at batch 26: 13.211, batch size: 220, lr=0.001
2020-03-08 12:14:51 DEBUG: g loss at batch 27: 13.277, batch size: 217, lr=0.001
2020-03-08 12:14:52 DEBUG: g loss at batch 28: 13.229, batch size: 218, lr=0.001
2020-03-08 12:14:52 DEBUG: g loss at batch 29: 13.174, batch size: 218, lr=0.001
2020-03-08 12:14:53 DEBUG: g loss at batch 30: 13.172, batch size: 216, lr=0.001
2020-03-08 12:14:53 DEBUG: g loss at batch 31: 13.096, batch size: 216, lr=0.001
2020-03-08 12:14:54 DEBUG: g loss at batch 32: 13.016, batch size: 217, lr=0.001
2020-03-08 12:14:55 DEBUG: g loss at batch 33: 12.984, batch size: 218, lr=0.001
2020-03-08 12:14:55 DEBUG: g loss at batch 34: 12.973, batch size: 218, lr=0.001
2020-03-08 12:14:56 DEBUG: g loss at batch 35: 12.911, batch size: 219, lr=0.001
2020-03-08 12:14:57 DEBUG: g loss at batch 36: 12.852, batch size: 219, lr=0.001
2020-03-08 12:14:57 DEBUG: g loss at batch 37: 12.832, batch size: 220, lr=0.001
2020-03-08 12:14:58 DEBUG: g loss at batch 38: 12.795, batch size: 221, lr=0.001
2020-03-08 12:14:59 DEBUG: g loss at batch 39: 12.787, batch size: 221, lr=0.001
2020-03-08 12:14:59 DEBUG: g loss at batch 40: 12.754, batch size: 221, lr=0.001
2020-03-08 12:15:00 DEBUG: g loss at batch 41: 12.731, batch size: 222, lr=0.001
2020-03-08 12:15:01 DEBUG: g loss at batch 42: 12.705, batch size: 222, lr=0.001
2020-03-08 12:15:01 DEBUG: g loss at batch 43: 12.681, batch size: 223, lr=0.001
2020-03-08 12:15:02 DEBUG: g loss at batch 44: 12.671, batch size: 223, lr=0.001
2020-03-08 12:15:03 DEBUG: g loss at batch 45: 12.659, batch size: 224, lr=0.001
2020-03-08 12:15:03 DEBUG: g loss at batch 46: 12.629, batch size: 224, lr=0.001
2020-03-08 12:15:04 DEBUG: g loss at batch 47: 12.620, batch size: 224, lr=0.001
2020-03-08 12:15:05 DEBUG: g loss at batch 48: 12.585, batch size: 225, lr=0.001
2020-03-08 12:15:05 DEBUG: g loss at batch 49: 12.572, batch size: 225, lr=0.001
2020-03-08 12:15:06 DEBUG: g loss at batch 50: 12.528, batch size: 225, lr=0.001
2020-03-08 12:15:07 DEBUG: g loss at batch 51: 12.523, batch size: 225, lr=0.001
2020-03-08 12:15:07 DEBUG: g loss at batch 52: 12.501, batch size: 226, lr=0.001
2020-03-08 12:15:08 DEBUG: g loss at batch 53: 12.489, batch size: 226, lr=0.001
2020-03-08 12:15:09 DEBUG: g loss at batch 54: 12.463, batch size: 226, lr=0.001
2020-03-08 12:15:09 DEBUG: g loss at batch 55: 12.438, batch size: 226, lr=0.001
2020-03-08 12:15:10 DEBUG: g loss at batch 56: 12.417, batch size: 227, lr=0.001
2020-03-08 12:15:11 DEBUG: g loss at batch 57: 12.395, batch size: 227, lr=0.001
2020-03-08 12:15:11 DEBUG: g loss at batch 58: 12.378, batch size: 227, lr=0.001
2020-03-08 12:15:12 DEBUG: g loss at batch 59: 12.414, batch size: 227, lr=0.001
2020-03-08 12:15:13 DEBUG: g loss at batch 60: 12.393, batch size: 228, lr=0.001
2020-03-08 12:15:13 DEBUG: g loss at batch 61: 12.403, batch size: 228, lr=0.001
2020-03-08 12:15:14 DEBUG: g loss at batch 62: 12.387, batch size: 228, lr=0.001
2020-03-08 12:15:15 DEBUG: g loss at batch 63: 12.385, batch size: 228, lr=0.001
2020-03-08 12:15:15 DEBUG: g loss at batch 64: 12.366, batch size: 228, lr=0.001
2020-03-08 12:15:16 DEBUG: g loss at batch 65: 12.346, batch size: 228, lr=0.001
2020-03-08 12:15:17 DEBUG: g loss at batch 66: 12.348, batch size: 229, lr=0.001
2020-03-08 12:15:17 DEBUG: g loss at batch 67: 12.329, batch size: 229, lr=0.001
2020-03-08 12:15:18 DEBUG: g loss at batch 68: 12.305, batch size: 229, lr=0.001
2020-03-08 12:15:19 DEBUG: g loss at batch 69: 12.301, batch size: 229, lr=0.001
2020-03-08 12:15:19 DEBUG: g loss at batch 70: 12.288, batch size: 229, lr=0.001
2020-03-08 12:15:20 DEBUG: g loss at batch 71: 12.269, batch size: 229, lr=0.001
2020-03-08 12:15:21 DEBUG: g loss at batch 72: 12.301, batch size: 229, lr=0.001
2020-03-08 12:15:21 DEBUG: g loss at batch 73: 12.294, batch size: 230, lr=0.001
2020-03-08 12:15:22 DEBUG: g loss at batch 74: 12.270, batch size: 230, lr=0.001
2020-03-08 12:15:23 DEBUG: g loss at batch 75: 12.269, batch size: 230, lr=0.001
2020-03-08 12:15:23 DEBUG: g loss at batch 76: 12.259, batch size: 230, lr=0.001
2020-03-08 12:15:24 DEBUG: g loss at batch 77: 12.258, batch size: 230, lr=0.001
2020-03-08 12:15:25 DEBUG: g loss at batch 78: 12.255, batch size: 230, lr=0.001
2020-03-08 12:15:25 DEBUG: g loss at batch 79: 12.223, batch size: 230, lr=0.001
2020-03-08 12:15:26 DEBUG: g loss at batch 80: 12.207, batch size: 230, lr=0.001
2020-03-08 12:15:27 DEBUG: g loss at batch 81: 12.194, batch size: 230, lr=0.001
2020-03-08 12:15:27 DEBUG: g loss at batch 82: 12.185, batch size: 230, lr=0.001
2020-03-08 12:15:28 DEBUG: g loss at batch 83: 12.158, batch size: 231, lr=0.001
2020-03-08 12:15:29 DEBUG: g loss at batch 84: 12.147, batch size: 231, lr=0.001
2020-03-08 12:15:29 DEBUG: g loss at batch 85: 12.135, batch size: 231, lr=0.001
2020-03-08 12:15:30 DEBUG: g loss at batch 86: 12.129, batch size: 231, lr=0.001
2020-03-08 12:15:31 DEBUG: g loss at batch 87: 12.115, batch size: 231, lr=0.001
2020-03-08 12:15:31 DEBUG: g loss at batch 88: 12.096, batch size: 231, lr=0.001
2020-03-08 12:15:32 DEBUG: g loss at batch 89: 12.091, batch size: 231, lr=0.001
2020-03-08 12:15:33 DEBUG: g loss at batch 90: 12.091, batch size: 231, lr=0.001
2020-03-08 12:15:33 DEBUG: g loss at batch 91: 12.073, batch size: 231, lr=0.001
2020-03-08 12:15:34 DEBUG: g loss at batch 92: 12.071, batch size: 231, lr=0.001
2020-03-08 12:15:35 DEBUG: g loss at batch 93: 12.065, batch size: 232, lr=0.001
2020-03-08 12:15:35 DEBUG: g loss at batch 94: 12.046, batch size: 232, lr=0.001
2020-03-08 12:15:36 DEBUG: g loss at batch 95: 12.036, batch size: 232, lr=0.001
2020-03-08 12:15:37 DEBUG: g loss at batch 96: 12.013, batch size: 232, lr=0.001
2020-03-08 12:15:37 DEBUG: g loss at batch 97: 12.000, batch size: 232, lr=0.001
2020-03-08 12:15:38 DEBUG: g loss at batch 98: 11.989, batch size: 232, lr=0.001
2020-03-08 12:15:39 DEBUG: g loss at batch 99: 11.979, batch size: 232, lr=0.001
2020-03-08 12:15:39 DEBUG: g loss at batch 100: 11.967, batch size: 232, lr=0.001
2020-03-08 12:15:40 DEBUG: g loss at batch 101: 12.001, batch size: 232, lr=0.001
2020-03-08 12:15:41 DEBUG: g loss at batch 102: 12.017, batch size: 232, lr=0.001
2020-03-08 12:15:41 DEBUG: g loss at batch 103: 12.008, batch size: 232, lr=0.001
2020-03-08 12:15:42 DEBUG: g loss at batch 104: 12.011, batch size: 232, lr=0.001
2020-03-08 12:15:43 DEBUG: g loss at batch 105: 11.996, batch size: 232, lr=0.001
2020-03-08 12:15:43 DEBUG: g loss at batch 106: 11.983, batch size: 233, lr=0.001
2020-03-08 12:15:44 DEBUG: g loss at batch 107: 11.965, batch size: 233, lr=0.001
2020-03-08 12:15:45 DEBUG: g loss at batch 108: 11.975, batch size: 233, lr=0.001
2020-03-08 12:15:45 DEBUG: g loss at batch 109: 11.952, batch size: 233, lr=0.001
2020-03-08 12:15:46 DEBUG: g loss at batch 110: 11.956, batch size: 233, lr=0.001
2020-03-08 12:15:47 DEBUG: g loss at batch 111: 11.952, batch size: 233, lr=0.001
2020-03-08 12:15:47 DEBUG: g loss at batch 112: 11.945, batch size: 233, lr=0.001
2020-03-08 12:15:48 DEBUG: g loss at batch 113: 11.939, batch size: 233, lr=0.001
2020-03-08 12:15:49 DEBUG: g loss at batch 114: 11.932, batch size: 233, lr=0.001
2020-03-08 12:15:49 DEBUG: g loss at batch 115: 11.923, batch size: 233, lr=0.001
2020-03-08 12:15:50 DEBUG: g loss at batch 116: 11.911, batch size: 233, lr=0.001
2020-03-08 12:15:51 DEBUG: g loss at batch 117: 11.903, batch size: 233, lr=0.001
2020-03-08 12:15:51 DEBUG: g loss at batch 118: 11.897, batch size: 233, lr=0.001
2020-03-08 12:15:52 DEBUG: g loss at batch 119: 11.910, batch size: 233, lr=0.001
2020-03-08 12:15:53 DEBUG: g loss at batch 120: 11.922, batch size: 233, lr=0.001
2020-03-08 12:15:53 DEBUG: g loss at batch 121: 11.930, batch size: 233, lr=0.001
2020-03-08 12:15:54 DEBUG: g loss at batch 122: 11.932, batch size: 233, lr=0.001
2020-03-08 12:15:55 DEBUG: g loss at batch 123: 11.920, batch size: 233, lr=0.001
2020-03-08 12:15:55 DEBUG: g loss at batch 124: 11.913, batch size: 233, lr=0.001
2020-03-08 12:15:56 DEBUG: g loss at batch 125: 11.907, batch size: 233, lr=0.001
2020-03-08 12:15:57 DEBUG: g loss at batch 126: 11.902, batch size: 233, lr=0.001
2020-03-08 12:15:58 DEBUG: g loss at batch 127: 11.892, batch size: 234, lr=0.001
2020-03-08 12:15:58 DEBUG: g loss at batch 128: 11.878, batch size: 234, lr=0.001
2020-03-08 12:15:59 DEBUG: g loss at batch 129: 11.874, batch size: 234, lr=0.001
2020-03-08 12:16:00 DEBUG: g loss at batch 130: 11.863, batch size: 234, lr=0.001
2020-03-08 12:16:00 DEBUG: g loss at batch 131: 11.865, batch size: 234, lr=0.001
2020-03-08 12:16:01 DEBUG: g loss at batch 132: 11.846, batch size: 234, lr=0.001
2020-03-08 12:16:02 DEBUG: g loss at batch 133: 11.830, batch size: 234, lr=0.001
2020-03-08 12:16:02 DEBUG: g loss at batch 134: 11.823, batch size: 234, lr=0.001
2020-03-08 12:16:03 DEBUG: g loss at batch 135: 11.813, batch size: 234, lr=0.001
2020-03-08 12:16:04 DEBUG: g loss at batch 136: 11.810, batch size: 234, lr=0.001
2020-03-08 12:16:04 DEBUG: g loss at batch 137: 11.799, batch size: 234, lr=0.001
2020-03-08 12:16:05 DEBUG: g loss at batch 138: 11.795, batch size: 234, lr=0.001
2020-03-08 12:16:06 DEBUG: g loss at batch 139: 11.783, batch size: 234, lr=0.001
2020-03-08 12:16:06 DEBUG: g loss at batch 140: 11.786, batch size: 234, lr=0.001
2020-03-08 12:16:07 DEBUG: g loss at batch 141: 11.779, batch size: 234, lr=0.001
2020-03-08 12:16:08 DEBUG: g loss at batch 142: 11.779, batch size: 234, lr=0.001
2020-03-08 12:16:08 DEBUG: g loss at batch 143: 11.785, batch size: 234, lr=0.001
2020-03-08 12:16:09 DEBUG: g loss at batch 144: 11.781, batch size: 234, lr=0.001
2020-03-08 12:16:09 DEBUG: g loss at batch 145: 11.773, batch size: 234, lr=0.001
2020-03-08 12:16:10 DEBUG: g loss at batch 146: 11.764, batch size: 234, lr=0.001
2020-03-08 12:16:11 DEBUG: g loss at batch 147: 11.759, batch size: 234, lr=0.001
2020-03-08 12:16:11 DEBUG: g loss at batch 148: 11.754, batch size: 234, lr=0.001
2020-03-08 12:16:12 DEBUG: g loss at batch 149: 11.753, batch size: 234, lr=0.001
2020-03-08 12:16:13 DEBUG: g loss at batch 150: 11.744, batch size: 234, lr=0.001
2020-03-08 12:16:13 DEBUG: g loss at batch 151: 11.745, batch size: 234, lr=0.001
2020-03-08 12:16:14 DEBUG: g loss at batch 152: 11.745, batch size: 234, lr=0.001
2020-03-08 12:16:15 DEBUG: g loss at batch 153: 11.747, batch size: 234, lr=0.001
2020-03-08 12:16:15 DEBUG: g loss at batch 154: 11.747, batch size: 234, lr=0.001
